Survived,Age,SibSp,Parch,Fare,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_n,Embarked_C,Embarked_Q,Embarked_S
0,0.4093993465694898,0.0,0.0,0.23056768501693148,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.38426740387031916,0.0,0.0,0.13640411465232144,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.09525006282985675,0.0,0.3333333333333333,0.3873040545816513,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.5036441316913798,0.0,0.3333333333333333,0.26491806312910715,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.2963056044232219,0.0,0.0,0.13958327668775772,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.4722292033174164,0.0,0.0,0.832622247522055,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0.4219653179190751,0.0,0.0,0.24240066941351945,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.5727569741140991,0.0,0.0,0.6150178939491493,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0.610454888162855,0.0,0.0,0.38476851315866933,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0.7486805730082936,0.2,0.16666666666666666,0.4689395507521764,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0.4219653179190751,0.2,0.16666666666666666,0.26349103614556724,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.2586076903744659,0.4,0.3333333333333333,0.8620094216912586,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
